score;sim_to_best_vertices;sim_to_best_edges;avg_sim_others_vertices;avg_sim_others_edges
6645.000000;145;109;137.789790;91.451451
4893.000000;91;69;86.270270;58.575576
5882.000000;140;95;134.802803;86.401401
5172.000000;140;92;137.566567;90.104104
5607.000000;141;101;135.699700;88.697698
6420.000000;147;105;140.779780;94.131131
4293.000000;81;53;77.249249;47.989990
5442.000000;142;104;133.653654;85.904905
5361.000000;137;95;130.897898;85.164164
4679.000000;128;88;123.677678;77.315315
5314.000000;146;96;140.785786;88.905906
6147.000000;137;92;132.206206;86.808809
5391.000000;143;96;138.308308;90.732733
5046.000000;147;101;138.697698;89.962963
3529.000000;71;53;67.051051;43.870871
4580.000000;140;88;137.216216;85.477477
6901.000000;143;103;133.841842;86.226226
4740.000000;122;84;117.915916;73.298298
5908.000000;146;105;139.887888;92.941942
6550.000000;149;120;138.623624;92.485485
4256.000000;66;48;64.691692;41.689690
5956.000000;141;103;138.296296;91.923924
5854.000000;148;105;140.727728;91.986987
5844.000000;145;100;136.535536;88.316316
6011.000000;144;101;137.129129;90.287287
5906.000000;141;103;135.917918;87.691692
5629.000000;145;104;140.459459;93.828829
6013.000000;117;87;115.015015;77.618619
5940.000000;139;105;132.967968;87.810811
4553.000000;119;86;116.035035;75.732733
5614.000000;151;103;141.803804;92.148148
5866.000000;137;91;133.608609;87.996997
5402.000000;147;103;138.845846;88.262262
6491.000000;146;105;141.806807;96.641642
6027.000000;144;101;136.082082;89.127127
5793.000000;143;102;137.623624;92.033033
4756.000000;139;87;136.455455;85.775776
5265.000000;141;99;134.047047;86.646647
5190.000000;101;70;100.235235;65.696697
5414.000000;146;95;140.752753;91.692693
6032.000000;118;78;116.062062;76.906907
5792.000000;132;85;126.851852;81.738739
5536.000000;143;94;139.404404;91.640641
6317.000000;133;89;129.960961;84.560561
4372.000000;119;87;112.916917;68.021021
5093.000000;143;98;136.316316;83.576577
5219.000000;116;79;111.158158;69.086086
5729.000000;143;102;137.045045;90.384384
5990.000000;147;112;138.927928;94.062062
4931.000000;147;109;139.131131;87.630631
4469.000000;138;90;133.746747;85.872873
5047.000000;142;92;137.088088;86.456456
3436.000000;58;43;55.890891;37.433433
6815.000000;149;104;141.763764;96.441441
5844.000000;142;93;138.885886;92.049049
6486.000000;113;80;108.435435;72.413413
5545.000000;141;91;135.591592;88.478478
5705.000000;144;99;141.486486;94.184184
5050.000000;142;100;135.347347;86.933934
5236.000000;129;89;127.347347;82.358358
6088.000000;122;82;119.559560;78.102102
5961.000000;146;103;141.380380;95.798799
6768.000000;137;103;129.107107;87.689690
5607.000000;146;100;141.083083;92.631632
5757.000000;147;96;139.920921;88.915916
6563.000000;141;99;133.922923;90.046046
6414.000000;150;113;140.998999;92.349349
6227.000000;99;72;97.441441;65.474474
5415.000000;123;83;121.082082;78.468468
6341.000000;146;112;136.637638;92.468468
2979.000000;43;28;42.171171;26.617618
6011.000000;146;104;138.836837;93.524525
6204.000000;140;94;133.069069;86.606607
5872.000000;143;100;135.568569;86.320320
6263.000000;143;99;138.070070;90.038038
4816.000000;145;92;139.251251;87.093093
5205.000000;144;91;138.756757;89.201201
6355.000000;114;76;112.310310;73.910911
