score;sim_to_best_vertices;sim_to_best_edges;avg_sim_others_vertices;avg_sim_others_edges
17367.000000;157;106;151.620621;97.416416
17481.000000;154;107;150.397397;97.078078
18196.000000;149;111;147.844845;97.651652
16315.000000;159;115;154.193193;97.812813
16987.000000;149;101;143.114114;90.892893
17796.000000;155;100;152.742743;100.501502
17737.000000;156;99;149.588589;94.510511
16719.000000;158;111;151.793794;95.546547
18086.000000;151;107;148.057057;99.814815
17919.000000;155;111;150.133133;99.762763
17390.000000;159;114;153.232232;100.441441
16559.000000;157;103;152.703704;95.811812
18317.000000;138;100;134.590591;88.871872
16589.000000;141;89;137.992993;83.895896
17113.000000;153;108;148.922923;95.371371
17349.000000;145;106;142.788789;93.120120
16894.000000;151;110;148.225225;94.068068
16857.000000;155;105;151.838839;98.079079
16634.000000;156;103;152.047047;94.405405
17852.000000;158;119;149.831832;97.853854
16523.000000;154;103;149.007007;94.643644
17724.000000;154;104;150.071071;97.419419
17944.000000;156;111;151.019019;99.288288
16620.000000;154;108;151.382382;93.688689
17057.000000;153;96;149.821822;94.781782
16165.000000;126;85;124.380380;81.357357
18845.000000;154;113;147.974975;98.888889
18467.000000;157;111;153.761762;103.833834
16095.000000;159;110;153.255255;95.532533
17666.000000;156;106;150.580581;97.458458
17116.000000;159;113;153.845846;99.081081
16886.000000;151;107;149.459459;97.289289
16118.000000;158;103;154.357357;93.864865
17995.000000;153;111;148.680681;97.819820
16583.000000;143;97;140.908909;89.980981
17293.000000;143;98;139.919920;89.184184
16889.000000;149;108;145.965966;93.336336
16506.000000;126;89;124.601602;79.689690
16756.000000;157;114;153.489489;99.335335
17593.000000;155;115;152.117117;98.601602
17868.000000;152;107;147.960961;99.029029
18211.000000;155;111;151.796797;101.316316
17405.000000;133;97;130.428428;82.425425
16806.000000;155;106;150.987988;95.013013
17003.000000;156;110;152.649650;98.222222
17473.000000;155;116;150.333333;97.409409
9262.000000;78;49;77.287287;43.764765
18461.000000;153;119;148.295295;101.895896
16541.000000;138;90;135.016016;87.297297
18360.000000;154;117;150.171171;101.754755
17228.000000;158;111;153.107107;98.705706
16810.000000;146;103;142.910911;89.883884
17935.000000;157;124;151.676677;99.776777
17089.000000;150;105;148.755756;95.217217
15572.000000;141;89;140.251251;86.040040
16176.000000;156;110;151.442442;95.090090
18641.000000;156;113;151.091091;101.514515
16886.000000;156;120;151.404404;100.749750
17518.000000;159;126;153.869870;102.153153
17740.000000;157;115;151.916917;100.218218
17760.000000;142;99;139.249249;91.686687
17491.000000;152;103;149.720721;96.854855
16965.000000;156;98;152.648649;96.317317
18121.000000;153;111;146.366366;93.248248
17736.000000;152;108;147.653654;95.517518
16407.000000;156;106;152.869870;96.131131
16811.000000;157;114;151.900901;96.687688
17004.000000;148;93;144.214214;90.447447
16910.000000;156;100;151.179179;96.656657
17561.000000;155;110;151.086086;97.344344
16647.000000;157;111;152.662663;97.965966
16703.000000;157;116;153.267267;101.853854
18330.000000;153;116;149.656657;97.332332
17534.000000;158;108;151.555556;98.411411
16736.000000;159;109;156.019019;102.023023
16444.000000;154;97;149.072072;90.646647
17930.000000;150;109;145.473473;93.863864
13491.000000;112;69;109.777778;68.096096
17736.000000;147;109;144.485485;93.880881
17815.000000;151;103;146.919920;95.703704
17152.000000;154;112;149.593594;98.205205
18571.000000;155;112;150.162162;99.481481
16990.000000;154;112;151.303303;99.200200
16821.000000;147;103;145.702703;91.349349
17452.000000;155;110;152.082082;98.817818
9766.000000;74;45;73.710711;41.904905
16637.000000;149;98;146.334334;90.980981
16801.000000;153;103;148.902903;94.120120
17093.000000;154;103;153.241241;100.187187
17420.000000;154;103;151.505506;99.157157
17198.000000;157;110;151.212212;97.170170
16576.000000;152;99;149.293293;91.225225
16822.000000;140;106;139.491491;91.323323
17834.000000;153;111;147.727728;97.217217
17017.000000;153;110;149.492492;98.518519
17589.000000;147;107;141.584585;90.814815
16435.000000;157;105;151.830831;98.061061
17359.000000;157;102;150.432432;92.949950
17588.000000;154;116;150.371371;100.138138
17413.000000;155;106;150.620621;94.266266
17724.000000;158;115;153.015015;100.010010
16132.000000;154;107;151.192192;94.894895
18245.000000;153;106;151.323323;100.780781
18160.000000;155;109;149.370370;97.726727
18355.000000;154;112;150.853854;101.472472
17075.000000;154;105;149.884885;94.235235
17416.000000;159;122;154.323323;99.423423
16992.000000;157;111;152.756757;98.395395
17394.000000;158;115;151.955956;97.299299
17179.000000;153;103;149.360360;96.216216
17161.000000;157;113;150.443443;94.712713
13009.000000;116;75;115.170170;71.231231
16820.000000;152;110;146.014014;91.635636
17202.000000;148;100;143.194194;89.413413
17197.000000;154;107;152.164164;98.900901
17343.000000;157;102;152.381381;96.277277
3011.000000;28;22;26.830831;19.272272
16824.000000;139;96;135.463463;83.909910
16229.000000;157;103;151.499499;95.170170
17995.000000;152;109;147.918919;96.128128
17362.000000;156;108;148.678679;94.143143
18310.000000;153;109;150.898899;102.792793
16962.000000;158;113;152.609610;96.038038
16619.000000;152;103;147.644645;90.433433
16452.000000;147;94;141.118118;82.523524
17738.000000;148;101;144.955956;94.893894
15665.000000;157;103;150.997998;92.704705
17044.000000;147;95;145.157157;91.486486
16844.000000;155;103;150.629630;98.229229
17252.000000;151;106;144.481481;91.531532
18094.000000;155;112;151.744745;101.807808
17841.000000;153;101;150.123123;97.602603
18438.000000;156;113;150.648649;101.593594
15804.000000;154;99;151.246246;90.454454
17538.000000;151;105;148.598599;92.389389
18012.000000;156;110;149.640641;95.084084
17732.000000;153;112;147.924925;97.695696
17568.000000;151;106;146.730731;94.179179
18318.000000;151;103;150.453453;97.250250
17367.000000;151;110;147.801802;96.754755
18094.000000;153;110;147.131131;97.615616
16866.000000;156;109;152.525526;97.655656
18271.000000;153;105;149.701702;96.808809
17771.000000;159;118;153.413413;101.810811
15780.000000;156;101;152.169169;95.456456
18397.000000;152;105;145.749750;95.293293
18622.000000;153;114;147.886887;102.352352
17265.000000;155;108;149.122122;94.965966
17436.000000;154;105;150.610611;98.179179
16792.000000;154;108;149.797798;95.848849
17312.000000;141;108;137.856857;94.442442
17966.000000;155;113;151.872873;102.469469
16552.000000;155;97;153.114114;97.170170
17131.000000;148;107;145.874875;97.973974
18077.000000;150;109;145.200200;95.825826
16443.000000;125;86;122.000000;79.529530
15672.000000;154;109;150.099099;93.026026
16388.000000;150;95;146.559560;89.964965
17016.000000;149;103;144.800801;93.957958
16246.000000;155;95;150.026026;90.740741
17284.000000;154;100;149.793794;92.113113
17853.000000;153;110;149.965966;98.689690
16475.000000;151;101;148.176176;92.130130
17529.000000;149;102;147.622623;97.204204
18386.000000;153;118;148.957958;99.987988
11845.000000;94;58;90.467467;56.129129
17026.000000;158;107;151.702703;98.922923
17452.000000;156;115;151.897898;98.986987
17305.000000;155;104;153.002002;100.693694
17123.000000;159;102;155.123123;99.922923
17671.000000;158;107;153.500501;99.581582
16695.000000;156;115;151.196196;95.076076
18820.000000;156;127;152.004004;104.857858
16811.000000;150;103;143.836837;91.464464
17184.000000;155;109;149.526527;96.427427
18096.000000;155;113;147.161161;96.064064
17984.000000;155;117;149.796797;98.977978
17089.000000;156;119;151.702703;98.443443
16962.000000;154;107;151.249249;99.765766
16395.000000;157;101;153.109109;95.286286
17174.000000;151;101;148.612613;97.125125
17477.000000;135;95;132.782783;86.706707
17687.000000;157;116;151.827828;99.018018
17423.000000;155;111;151.765766;97.733734
16737.000000;152;97;149.462462;94.218218
16623.000000;155;105;152.461461;96.214214
17316.000000;152;108;150.357357;96.484484
16327.000000;154;100;150.651652;92.059059
16309.000000;150;96;146.928929;93.379379
13306.000000;110;71;106.719720;65.030030
16156.000000;154;98;150.892893;89.460460
16795.000000;155;110;149.246246;97.645646
16865.000000;154;104;148.280280;95.004004
17480.000000;153;108;148.763764;95.373373
17352.000000;154;102;151.410410;99.894895
16465.000000;140;93;138.321321;85.867868
17928.000000;149;97;147.160160;96.731732
16391.000000;153;112;149.087087;93.388388
