TABELA 1: Statystyki funkcji celu (Zysk - Dystans);
Metoda;TSPA.csv;TSPB.csv;
MSLS (Multiple Start LS);7686.1 (7475.0 - 7945.0);19428.6 (19210.0 - 19692.0);
ILS (Iterated LS);7952.1 (7298.0 - 8541.0);19572.0 (18496.0 - 19955.0);
LNS (Destroy-Repair + LS);8182.0 (7728.0 - 8482.0);19695.7 (19316.0 - 19940.0);
LNSa (Destroy-Repair bez LS);7841.4 (6466.0 - 8448.0);19602.6 (19187.0 - 19857.0);

TABELA 2: Statystyki czasu obliczen jednego uruchomienia (ms);
Metoda;TSPA.csv;TSPB.csv;
MSLS (Multiple Start LS);4870.4 (4787 - 5122);5601.3 (5465 - 5777);
ILS (Iterated LS);4870.2 (4870 - 4871);5601.2 (5601 - 5602);
LNS (Destroy-Repair + LS);4870.6 (4870 - 4871);5601.9 (5601 - 5603);
LNSa (Destroy-Repair bez LS);4870.4 (4870 - 4871);5601.4 (5601 - 5603);

TABELA 3: Liczba iteracji (LS dla MSLS, perturbacji dla ILS/LNS/LNSa);
Metoda;TSPA.csv;TSPB.csv;
MSLS (Multiple Start LS);200.0 (200 - 200);200.0 (200 - 200);
ILS (Iterated LS);3964.2 (3832 - 4263);4415.9 (4257 - 4517);
LNS (Destroy-Repair + LS);2394.6 (2103 - 2624);2908.9 (2586 - 3383);
LNSa (Destroy-Repair bez LS);3223.2 (2486 - 3593);4327.6 (3941 - 4864);

