TABELA 1: Statystyki funkcji celu; ;
Metoda;TSPA.csv;TSPB.csv
Losowy;-150057.99 (-317973 - -5211);-138809.95 (-295380 - -959)
NN bez zysku;2480.56 (-2121 - 5971);13495.44 (10429 - 16455)
NN z zyskiem;-756.45 (-3899 - 2712);5783.40 (2251 - 9016)
GC bez zysku;3456.43 (1894 - 4368);13678.33 (12527 - 15375)
GC z zyskiem;3691.09 (2634 - 4506);15096.14 (14181 - 16103)
2-zal bez zysku;6171.88 (4928 - 6934);18108.68 (16902 - 19517)
2-zal z zyskiem;6133.06 (5027 - 6934);18012.97 (16877 - 19294)
2-zal wazony bez zysku;5864.94 (4707 - 7180);17366.78 (15723 - 18638)
2-zal wazony z zyskiem;5654.09 (3989 - 6820);16593.85 (15527 - 17706)
;;
;;
TABELA 2: Dlugosc sciezki po I fazie;;
Metoda;TSPA.csv;TSPB.csv
Losowy;0.00 (0 - 0);0.00 (0 - 0)
NN bez zysku;39164.67 (36261 - 43753);39109.42 (36320 - 43455)
NN z zyskiem;47444.86 (45938 - 49720);51377.10 (47096 - 55231)
GC bez zysku;36879.19 (36229 - 37787);38431.86 (36935 - 39501)
GC z zyskiem;36241.19 (35458 - 37314);36602.79 (35995 - 37502)
2-zal bez zysku;32477.33 (31825 - 33372);32568.33 (31088 - 33714)
2-zal z zyskiem;32514.30 (31651 - 34132);32654.03 (31508 - 33714)
2-zal wazony bez zysku;33100.85 (31805 - 34438);33335.29 (32284 - 34948)
2-zal wazony z zyskiem;33031.51 (31696 - 34498);33989.92 (32653 - 35257)
